20022583,18300873
20089041,19482208
18781125,18114708
15073250,14475583
15379375,15043041
15809541,15383250
14563250,14429334
14598709,14161791
14040417,13581126
14045250,13765166
12467417,12129833
20386500,19927667
11870708,10588416
9913625,9696292
14442041,13882751
11331834,10715625
9173875,8905542
12203500,11960584
8849333,8591583
17927709,15948416
10420958,10371666
11041583,10496708
12983792,12747458
12441167,12328834
9582042,9192125
13663917,13213667
9128209,8877666
18531833,18249541
9652125,9401125
15799375,15532499
8057791,7877750
12476833,12117041
13747375,13357707
8955875,8917334
12530208,12201751
12011250,11494165
13016917,12132792
11983667,11499750
9456750,9087999
16562792,16511126
18153166,17959250
15119459,14668125
17347833,17033958
20658750,20481126
14592417,14363999
17936833,17472667
13976458,13664834
10703458,10229876
12375833,12199416
16330458,15782374
10570334,10518501
12988708,12632417
16631458,16455541
10525958,10334083
11368542,11246542
20427459,20254874
16547375,16420709
17512000,17010833
14372709,14272084
14743084,14686749
16621583,16376418
41582958,41342041
16734917,16319833
26182917,26060833
12318542,12210709
25448500,23517333
19236625,19148084
17926833,17745750
18187916,18095875
19069500,18759999
17125125,16949333
11389417,11104915
18635709,18564292
20399166,20272917
48108791,47745790
18444000,18308834
17797458,17482708
24107750,23750499
19224125,19061292
27715041,27566750
27804917,27626459
31173125,30860750
24096375,23848792
23726292,23301001
21288541,21245417
32591375,31959416
22302916,22247208
58818708,58774584
24784417,24664750
18440750,18362166
15917916,15728417
22240625,21181084
18386541,17893209
21358917,21230084
22892709,22787875
20334666,20257334
24805958,24572041
29452666,29240001
15179625,14997166
61756709,61402500
32162458,32077542
19439875,19395585
29923292,26947084
20448166,20317625
13301291,13109000
24268542,24098207
16641459,16439333
22844125,22739917
23182125,22707624
46575583,46392041
23415208,22975126
22825709,22705792
17360625,17200416
22888291,22688834
25309583,25195167
22906625,22749125
31492791,31337500
30835584,30802292
24890250,24455875
22955000,22846459
23213958,23026792
18157417,17770417
66021666,65747333
20047791,17739168
21892625,21726000
21292125,21038458
21112083,20913166
30519834,30429375
31545500,30721375
47905291,46774458
28812208,28578542
29687875,29393792
34518250,34387332
26370833,26105501
51889291,51162042
18770500,17995333
87659084,87494459
